practice_id,product,spend,pct_of_spend
p1,Fluorescein Strips,48200,31
p1,AK-Fluor,28100,18
p1,Proparacaine 0.5%,21400,14
p1,OCT Contrast Dye,15700,10
p1,Tetracaine 0.5%,12500,8
p2,Fluorescein Strips,41125,32
p2,Proparacaine 0.5%,17980,14
p2,Tetracaine 0.5%,13450,10
p2,Phenylephrine 2.5%,11230,9
p2,Tropicamide 1%,9875,8
p3,Fluorescein Strips,21450,34
p3,Proparacaine 0.5%,9670,16
p3,Tetracaine 0.5%,8230,13
p3,Phenylephrine 2.5%,7220,12
p3,Tropicamide 1%,4680,8
p4,Fluorescein Strips,26800,31
p4,Proparacaine 0.5%,12200,14
p4,Tetracaine 0.5%,9400,11
p4,Phenylephrine 2.5%,7100,8
p4,Tropicamide 1%,5900,7
p5,Fluorescein Strips,10900,32
p5,Proparacaine 0.5%,4800,14
p5,Tetracaine 0.5%,3600,11
p5,Phenylephrine 2.5%,2700,8
p5,Tropicamide 1%,2100,6
p6,Fluorescein Strips,13500,32
p6,Proparacaine 0.5%,5900,14
p6,Tetracaine 0.5%,4500,11
p6,Cyclopentolate 1%,3400,8
p6,Tropicamide 1%,2600,6
p7,Fluorescein Strips,14100,31
p7,Proparacaine 0.5%,6300,14
p7,Tetracaine 0.5%,4800,11
p7,Phenylephrine 2.5%,3600,8
p7,Punctal Plugs,2900,6
p8,Fluorescein Strips,5200,28
p8,Proparacaine 0.5%,2400,13
p8,Tetracaine 0.5%,1800,10
p8,Tropicamide 1%,1300,7
p8,Phenylephrine 2.5%,1100,6
p9,Fluorescein Strips,6900,31
p9,Proparacaine 0.5%,3000,13
p9,Tetracaine 0.5%,2300,10
p9,Phenylephrine 2.5%,1800,8
p9,Tropicamide 1%,1400,6
