order_id,account_id,order_date,total_amount,product_category
O10001,A001,2026-05-15,3200.00,Frames
O10002,A002,2026-05-28,8750.00,Lenses
O10003,A005,2026-06-01,12400.00,Frames
O10004,A007,2026-04-10,22000.00,Equipment
O10005,A001,2026-04-20,1850.00,Accessories
O10006,A016,2026-06-05,31000.00,Equipment
O10007,A011,2026-05-30,9200.00,Lenses
O10008,A003,2026-06-08,4400.00,Frames
O10009,A018,2026-05-12,14500.00,Lenses
O10010,A024,2026-04-28,19800.00,Frames
O10011,A006,2026-05-05,7300.00,Accessories
O10012,A008,2026-06-02,6100.00,Frames
O10013,A002,2026-04-15,21000.00,Equipment
O10014,A017,2026-05-22,8800.00,Lenses
O10015,A020,2026-05-18,5600.00,Frames
O10016,A007,2026-06-09,15000.00,Lenses
O10017,A004,2026-03-30,2200.00,Accessories
O10018,A016,2026-04-05,44000.00,Equipment
O10019,A022,2026-05-25,6700.00,Frames
O10020,A005,2026-03-15,28500.00,Equipment
O10021,A009,2026-04-01,3100.00,Frames
O10022,A013,2026-05-08,9400.00,Lenses
O10023,A014,2026-06-06,4800.00,Accessories
O10024,A024,2026-05-20,25000.00,Equipment
O10025,A018,2026-06-10,11000.00,Frames
O10026,A012,2026-02-14,1800.00,Accessories
O10027,A019,2026-03-22,4200.00,Frames
O10028,A025,2026-02-28,2900.00,Lenses
O10029,A010,2026-05-01,7800.00,Frames
O10030,A021,2026-01-20,3300.00,Accessories
